model;ACC;Precision;Recall;F1;ROC;Jaccard
LogisticRegression;0.903125;0.625;0.17964071856287425;0.27906976744186046;0.5835398289255405;0.16216216216216217
KNeighborsClassifier;0.885;0.373134328358209;0.1497005988023952;0.21367521367521364;0.5601957285707718;0.11961722488038277
DecisionTreeClassifier;0.924375;0.6185567010309279;0.718562874251497;0.664819944598338;0.8334614789959508;0.4979253112033195
ExtraTreeClassifier;0.885625;0.45789473684210524;0.5209580838323353;0.48739495798319327;0.7245404515463141;0.32222222222222224
RandomForestClassifier;0.95875;0.9173553719008265;0.6646706586826348;0.7708333333333334;0.8288461458102637;0.6271186440677966
BaggingClassifier;0.9525;0.8582677165354331;0.6526946107784432;0.7414965986394558;0.8200667750333249;0.5891891891891892
AdaBoostClassifier;0.930625;0.75;0.5029940119760479;0.6021505376344086;0.7417272921010735;0.4307692307692308
GradientBoostingClassifier;0.951875;0.8461538461538461;0.6586826347305389;0.7407407407407408;0.8223629503031621;0.5882352941176471
SVC;0.895625;0.0;0.0;0.0;0.5;0.0
XGBClassifier;0.9625;0.9022556390977443;0.718562874251497;0.7999999999999999;0.8547454985353786;0.6666666666666666
VotingClassifier;0.9575;0.896;0.6706586826347305;0.767123287671233;0.8307934027269954;0.6222222222222222
LinearDiscriminantAnalysis;0.89125;0.472;0.3532934131736527;0.4041095890410959;0.6536180952818716;0.2532188841201717
